drugbank_id	name	type	groups	categories
DB00001	Lepirudin	biotech	approved	Amino Acids, Peptides, and Proteins|Anticoagulants|Antithrombin Proteins|Antithrombins|Blood and Blood Forming Organs|Cardiovascular Agents|Enzyme Inhibitors|Fibrin Modulating Agents|Hematologic Agents|Peptides|Protease Inhibitors|Proteins|Serine Proteinase Inhibitors|Serpins|Thrombin Inhibitors
DB00002	Cetuximab	biotech	approved	Amino Acids, Peptides, and Proteins|Antibodies|Antibodies, Monoclonal|Antibodies, Monoclonal, Humanized|Antineoplastic Agents|Antineoplastic and Immunomodulating Agents|Blood Proteins|Epidermal Growth Factor Receptor Antagonist|Globulins|HER1 Antagonists|Immunoglobulins|Immunoproteins|Proteins|Serum Globulins
DB00003	Dornase alfa	biotech	approved	Amino Acids, Peptides, and Proteins|Cough and Cold Preparations|Decreased Respiratory Secretion Viscosity|Deoxyribonucleases|Endodeoxyribonucleases|Endonucleases|Enzymes|Enzymes and Coenzymes|Esterases|Expectorants|Hydrolases|Proteins|Recombinant Human Deoxyribonuclease 1
DB00004	Denileukin diftitox	biotech	approved|investigational	ADP Ribose Transferases|Amino Acids, Peptides, and Proteins|Antineoplastic Agents|Antineoplastic and Immunomodulating Agents|Bacterial Toxins|Biological Factors|CD25-directed Cytotoxin|Cytokines|Enzymes|Enzymes and Coenzymes|Glycosyltransferases|Intercellular Signaling Peptides and Proteins|Interleukins|Lymphokines|Pentosyltransferases|Peptides|Proteins|Recombinant Proteins|Toxins, Biological|Transferases
DB00005	Etanercept	biotech	approved|investigational	Agents reducing cytokine levels|Amino Acids, Peptides, and Proteins|Anti-Inflammatory Agents|Antibodies|Biologics for Rheumatoid Arthritis Treatment|Disease-modifying Antirheumatic Agents|Immunoglobulin Isotypes|Immunologic Factors|Immunoproteins|Immunosuppressive Agents|Membrane Proteins|Proteins|Receptors, Cell Surface|Receptors, Cytokine|Receptors, Immunologic|Receptors, Tumor Necrosis Factor|Serum Globulins|Tumor Necrosis Factor Alpha (TNF-α) Inhibitors|Tumor Necrosis Factor Blocker|Tumor Necrosis Factor Receptor Blocking Activity
DB00006	Bivalirudin	small molecule	approved|investigational	Amino Acids, Peptides, and Proteins|Anticoagulants|Antithrombin Proteins|Antithrombins|Blood and Blood Forming Organs|Enzyme Inhibitors|Hematologic Agents|Peptides|Proteins|Serine Proteinase Inhibitors|Serpins|Thrombin Inhibitors
DB00007	Leuprolide	biotech	approved|investigational	Adrenal Cortex Hormones|Amino Acids, Peptides, and Proteins|Antineoplastic Agents|Antineoplastic Agents, Hormonal|Antineoplastic and Immunomodulating Agents|Cytochrome P-450 CYP3A Substrates|Cytochrome P-450 CYP3A4 Substrates|Endocrine Therapy|Fertility Agents|Fertility Agents, Female|Gonadotropin Releasing Hormone Receptor Agonist|Gonadotropin Releasing Hormone Receptor Agonists|Gonadotropin-releasing hormone agonist|Hormones|Hormones and Related Agents|Hormones, Hormone Substitutes, and Hormone Antagonists|Hyperglycemia-Associated Agents|Hypothalamic Hormones|Moderate Risk QTc-Prolonging Agents|Nerve Tissue Proteins|Neuropeptides|Oligopeptides|Peptide Hormones|Peptides|Pituitary Hormone-Releasing Hormones|Proteins|QTc Prolonging Agents|Reproductive Control Agents
DB00008	Peginterferon alfa-2a	biotech	approved|investigational	Adjuvants, Immunologic|Alcohols|Alfa Interferons|Amino Acids, Peptides, and Proteins|Anti-Infective Agents|Antineoplastic Agents|Antineoplastic and Immunomodulating Agents|Antiviral Agents|Biological Factors|Biomedical and Dental Materials|Cardiotoxic antineoplastic agents|Cytochrome P-450 CYP1A2 Inhibitors|Cytochrome P-450 Enzyme Inhibitors|Cytokines|Drug Carriers|Ethylene Glycols|Glycols|Immunosuppressive Agents|Intercellular Signaling Peptides and Proteins|Interferon alpha|Interferon Type I|Interferons|Macromolecular Substances|Myelosuppressive Agents|Pegylated agents|Peptides|Polymers|Proteins
DB00009	Alteplase	biotech	approved	Agents causing angioedema|Amino Acids, Peptides, and Proteins|Anticoagulants|Biological Factors|Blood and Blood Forming Organs|Blood Proteins|Cardiovascular Agents|Endopeptidases|Enzymes|Enzymes and Coenzymes|Fibrin Modulating Agents|Fibrinolytic Agents|Hematologic Agents|Hydrolases|Ophthalmologicals|Peptide Hydrolases|Plasminogen Activators|Proteins|Sensory Organs|Serine Endopeptidases|Serine Proteases
DB00010	Sermorelin	biotech	approved|withdrawn	Amino Acids, Peptides, and Proteins|Anterior Pituitary Lobe Hormones and Analogues|Diagnostic Agents|Growth Hormone-Releasing Hormone|Hormones|Hormones, Hormone Substitutes, and Hormone Antagonists|Hypothalamic Hormones|Nerve Tissue Proteins|Neuropeptides|Peptide Hormones|Peptides|Pituitary and Hypothalamic Hormones and Analogues|Pituitary Hormone-Releasing Hormones|Proteins|Somatropin and Somatropin Agonists|Systemic Hormonal Preparations, Excl. Sex Hormones and Insulins|Tests for Pituitary Function
DB00011	Interferon alfa-n1	biotech	approved|investigational	Adjuvants, Immunologic|Amino Acids, Peptides, and Proteins|Anti-Infective Agents|Antineoplastic and Immunomodulating Agents|Antiviral Agents|Biological Factors|Cytokines|Immunologic Factors|Immunosuppressive Agents|Intercellular Signaling Peptides and Proteins|Interferon Type I|Interferons|Myelosuppressive Agents|Peptides|Proteins
